epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.47999998927116394,208.0,208.0,0.6933866739273071,0.47999998927116394,0.47999998927116394,192.0,192.0,0.5055555701255798,89.0,89.0,0.6921378374099731,0.5055555701255798,0.5055555701255798,91.0,91.0
1,0.5024999976158142,199.0,199.0,0.6936911940574646,0.5024999976158142,0.5024999976158142,201.0,201.0,0.5,90.0,90.0,0.6917125582695007,0.5,0.5,90.0,90.0
2,0.44999998807907104,220.0,220.0,0.6956369876861572,0.44999998807907104,0.44999998807907104,180.0,180.0,0.5,90.0,90.0,0.692118763923645,0.5,0.5,90.0,90.0
3,0.550000011920929,180.0,180.0,0.6909883618354797,0.550000011920929,0.550000011920929,220.0,220.0,0.644444465637207,64.0,64.0,0.6900205016136169,0.644444465637207,0.644444465637207,116.0,116.0
4,0.5525000095367432,179.0,179.0,0.6908581256866455,0.5525000095367432,0.5525000095367432,221.0,221.0,0.6333333253860474,66.0,66.0,0.6886187195777893,0.6333333253860474,0.6333333253860474,114.0,114.0
5,0.5824999809265137,167.0,167.0,0.6854735016822815,0.5824999809265137,0.5824999809265137,233.0,233.0,0.5,90.0,90.0,0.6954429149627686,0.5,0.5,90.0,90.0
6,0.574999988079071,170.0,170.0,0.6781268119812012,0.574999988079071,0.574999988079071,230.0,230.0,0.5,90.0,90.0,0.69156813621521,0.5,0.5,90.0,90.0
7,0.5625,175.0,175.0,0.6777918338775635,0.5625,0.5625,225.0,225.0,0.550000011920929,81.0,81.0,0.6830440759658813,0.550000011920929,0.550000011920929,99.0,99.0
8,0.625,150.0,150.0,0.6697027683258057,0.625,0.625,250.0,250.0,0.6333333253860474,66.0,66.0,0.6748485565185547,0.6333333253860474,0.6333333253860474,114.0,114.0
9,0.6399999856948853,144.0,144.0,0.661506712436676,0.6399999856948853,0.6399999856948853,256.0,256.0,0.6111111044883728,70.0,70.0,0.6715255975723267,0.6111111044883728,0.6111111044883728,110.0,110.0
10,0.6725000143051147,131.0,131.0,0.6484086513519287,0.6725000143051147,0.6725000143051147,269.0,269.0,0.5166666507720947,87.0,87.0,0.6879345178604126,0.5166666507720947,0.5166666507720947,93.0,93.0
11,0.6974999904632568,121.0,121.0,0.6356826424598694,0.6974999904632568,0.6974999904632568,279.0,279.0,0.5055555701255798,89.0,89.0,0.7032906413078308,0.5055555701255798,0.5055555701255798,91.0,91.0
12,0.6875,125.0,125.0,0.6316301226615906,0.6875,0.6875,275.0,275.0,0.5333333611488342,84.0,84.0,0.6774093508720398,0.5333333611488342,0.5333333611488342,96.0,96.0
13,0.6600000262260437,136.0,136.0,0.6298773884773254,0.6600000262260437,0.6600000262260437,264.0,264.0,0.5388888716697693,83.0,83.0,0.6728716492652893,0.5388888716697693,0.5388888716697693,97.0,97.0
14,0.737500011920929,105.0,105.0,0.6080155372619629,0.737500011920929,0.737500011920929,295.0,295.0,0.5388888716697693,83.0,83.0,0.6687838435173035,0.5388888716697693,0.5388888716697693,97.0,97.0
15,0.7300000190734863,108.0,108.0,0.6060695052146912,0.7300000190734863,0.7300000190734863,292.0,292.0,0.5555555820465088,80.0,80.0,0.6648947596549988,0.5555555820465088,0.5555555820465088,100.0,100.0
