epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.762499988079071,95.0,95.0,0.6311905980110168,0.762499988079071,0.762499988079071,305.0,305.0,0.8666666746139526,24.0,24.0,0.5755647420883179,0.8666666746139526,0.8666666746139526,156.0,156.0
1,0.9399999976158142,24.0,24.0,0.5100013613700867,0.9399999976158142,0.9399999976158142,376.0,376.0,0.8833333253860474,21.0,21.0,0.4916829764842987,0.8833333253860474,0.8833333253860474,159.0,159.0
2,0.9524999856948853,19.0,19.0,0.4303067922592163,0.9524999856948853,0.9524999856948853,381.0,381.0,0.8722222447395325,23.0,23.0,0.4553186297416687,0.8722222447395325,0.8722222447395325,157.0,157.0
3,0.9700000286102295,12.0,12.0,0.3795074224472046,0.9700000286102295,0.9700000286102295,388.0,388.0,0.894444465637207,19.0,19.0,0.42316877841949463,0.894444465637207,0.894444465637207,161.0,161.0
4,0.9700000286102295,12.0,12.0,0.34822195768356323,0.9700000286102295,0.9700000286102295,388.0,388.0,0.8999999761581421,18.0,18.0,0.4065832495689392,0.8999999761581421,0.8999999761581421,162.0,162.0
5,0.9775000214576721,9.0,9.0,0.31462597846984863,0.9775000214576721,0.9775000214576721,391.0,391.0,0.8833333253860474,21.0,21.0,0.3979118764400482,0.8833333253860474,0.8833333253860474,159.0,159.0
6,0.9825000166893005,7.0,7.0,0.28958356380462646,0.9825000166893005,0.9825000166893005,393.0,393.0,0.8833333253860474,21.0,21.0,0.3770465552806854,0.8833333253860474,0.8833333253860474,159.0,159.0
7,0.9850000143051147,6.0,6.0,0.26767176389694214,0.9850000143051147,0.9850000143051147,394.0,394.0,0.8722222447395325,23.0,23.0,0.38786283135414124,0.8722222447395325,0.8722222447395325,157.0,157.0
8,0.987500011920929,5.0,5.0,0.25031542778015137,0.987500011920929,0.987500011920929,395.0,395.0,0.8722222447395325,23.0,23.0,0.36084604263305664,0.8722222447395325,0.8722222447395325,157.0,157.0
9,0.9850000143051147,6.0,6.0,0.23351287841796875,0.9850000143051147,0.9850000143051147,394.0,394.0,0.8777777552604675,22.0,22.0,0.35539910197257996,0.8777777552604675,0.8777777552604675,158.0,158.0
