epoch,accuracy,false_negatives,false_positives,loss,precision,recall,true_negatives,true_positives,val_accuracy,val_false_negatives,val_false_positives,val_loss,val_precision,val_recall,val_true_negatives,val_true_positives
0,0.8525000214576721,59.0,59.0,0.6721498370170593,0.8525000214576721,0.8525000214576721,341.0,341.0,0.5888888835906982,74.0,74.0,0.6704221367835999,0.5888888835906982,0.5888888835906982,106.0,106.0
1,0.925000011920929,30.0,30.0,0.5962362885475159,0.925000011920929,0.925000011920929,370.0,370.0,0.75,45.0,45.0,0.6332356929779053,0.75,0.75,135.0,135.0
2,0.9524999856948853,19.0,19.0,0.5149239897727966,0.9524999856948853,0.9524999856948853,381.0,381.0,0.7388888597488403,47.0,47.0,0.5970558524131775,0.7388888597488403,0.7388888597488403,133.0,133.0
3,0.9574999809265137,17.0,17.0,0.45074713230133057,0.9574999809265137,0.9574999809265137,383.0,383.0,0.7555555701255798,44.0,44.0,0.570616602897644,0.7555555701255798,0.7555555701255798,136.0,136.0
4,0.9624999761581421,15.0,15.0,0.40389513969421387,0.9624999761581421,0.9624999761581421,385.0,385.0,0.7222222089767456,50.0,50.0,0.5527629852294922,0.7222222089767456,0.7222222089767456,130.0,130.0
5,0.9674999713897705,13.0,13.0,0.36820149421691895,0.9674999713897705,0.9674999713897705,387.0,387.0,0.7111111283302307,52.0,52.0,0.5373126268386841,0.7111111283302307,0.7111111283302307,128.0,128.0
6,0.9674999713897705,13.0,13.0,0.33958569169044495,0.9674999713897705,0.9674999713897705,387.0,387.0,0.7333333492279053,48.0,48.0,0.5234835743904114,0.7333333492279053,0.7333333492279053,132.0,132.0
7,0.9700000286102295,12.0,12.0,0.3133236765861511,0.9700000286102295,0.9700000286102295,388.0,388.0,0.7666666507720947,42.0,42.0,0.5070877075195312,0.7666666507720947,0.7666666507720947,138.0,138.0
8,0.9700000286102295,12.0,12.0,0.29223427176475525,0.9700000286102295,0.9700000286102295,388.0,388.0,0.7388888597488403,47.0,47.0,0.5013070106506348,0.7388888597488403,0.7388888597488403,133.0,133.0
9,0.9725000262260437,11.0,11.0,0.2727884352207184,0.9725000262260437,0.9725000262260437,389.0,389.0,0.7555555701255798,44.0,44.0,0.48314958810806274,0.7555555701255798,0.7555555701255798,136.0,136.0
10,0.9775000214576721,9.0,9.0,0.2543899416923523,0.9775000214576721,0.9775000214576721,391.0,391.0,0.7611111402511597,43.0,43.0,0.48218247294425964,0.7611111402511597,0.7611111402511597,137.0,137.0
11,0.9800000190734863,8.0,8.0,0.23822684586048126,0.9800000190734863,0.9800000190734863,392.0,392.0,0.7611111402511597,43.0,43.0,0.464804083108902,0.7611111402511597,0.7611111402511597,137.0,137.0
12,0.9825000166893005,7.0,7.0,0.22434549033641815,0.9825000166893005,0.9825000166893005,393.0,393.0,0.7888888716697693,38.0,38.0,0.45392438769340515,0.7888888716697693,0.7888888716697693,142.0,142.0
13,0.9850000143051147,6.0,6.0,0.21234555542469025,0.9850000143051147,0.9850000143051147,394.0,394.0,0.7722222208976746,41.0,41.0,0.44687187671661377,0.7722222208976746,0.7722222208976746,139.0,139.0
14,0.9850000143051147,6.0,6.0,0.2003612369298935,0.9850000143051147,0.9850000143051147,394.0,394.0,0.7666666507720947,42.0,42.0,0.4430135190486908,0.7666666507720947,0.7666666507720947,138.0,138.0
15,0.987500011920929,5.0,5.0,0.18821418285369873,0.987500011920929,0.987500011920929,395.0,395.0,0.7833333611488342,39.0,39.0,0.4363844692707062,0.7833333611488342,0.7833333611488342,141.0,141.0
16,0.987500011920929,5.0,5.0,0.17959514260292053,0.987500011920929,0.987500011920929,395.0,395.0,0.7888888716697693,38.0,38.0,0.43603262305259705,0.7888888716697693,0.7888888716697693,142.0,142.0
17,0.9900000095367432,4.0,4.0,0.16934342682361603,0.9900000095367432,0.9900000095367432,396.0,396.0,0.7888888716697693,38.0,38.0,0.4515170753002167,0.7888888716697693,0.7888888716697693,142.0,142.0
